year,month,region_id,subregion_id,region,industry_id,subindustry_id,business_type,value
2009,February,14,,Canada,,1,Automobile dealers,4464968
2009,January,14,,Canada,,1,Automobile dealers,4609046
2008,December,14,,Canada,,1,Automobile dealers,4862789
2010,January,14,,Canada,,1,Automobile dealers,4919013
2011,January,14,,Canada,,1,Automobile dealers,5137678
2010,February,14,,Canada,,1,Automobile dealers,5156686
2011,February,14,,Canada,,1,Automobile dealers,5327798
2008,November,14,,Canada,,1,Automobile dealers,5485388
2008,February,14,,Canada,,1,Automobile dealers,5698261
2009,November,14,,Canada,,1,Automobile dealers,5765907
2008,January,14,,Canada,,1,Automobile dealers,5782597
2009,December,14,,Canada,,1,Automobile dealers,5849008
2012,January,14,,Canada,,1,Automobile dealers,5911002
2012,December,14,,Canada,,1,Automobile dealers,6008152
2013,February,14,,Canada,,1,Automobile dealers,6018774
2013,January,14,,Canada,,1,Automobile dealers,6090618
2010,December,14,,Canada,,1,Automobile dealers,6124452
2012,February,14,,Canada,,1,Automobile dealers,6150260
2009,March,14,,Canada,,1,Automobile dealers,6332194
2014,February,14,,Canada,,1,Automobile dealers,6404038
2011,December,14,,Canada,,1,Automobile dealers,6412971
2008,October,14,,Canada,,1,Automobile dealers,6438020
2014,January,14,,Canada,,1,Automobile dealers,6519355
2009,October,14,,Canada,,1,Automobile dealers,6550352
2013,December,14,,Canada,,1,Automobile dealers,6659934
2010,October,14,,Canada,,1,Automobile dealers,6667333
2009,September,14,,Canada,,1,Automobile dealers,6712147
2008,September,14,,Canada,,1,Automobile dealers,6719960
2015,January,14,,Canada,,1,Automobile dealers,6747480
2009,August,14,,Canada,,1,Automobile dealers,6754473
2015,February,14,,Canada,,1,Automobile dealers,6771273
2010,November,14,,Canada,,1,Automobile dealers,6783016
2008,August,14,,Canada,,1,Automobile dealers,6808814
2008,March,14,,Canada,,1,Automobile dealers,6901392
2009,April,14,,Canada,,1,Automobile dealers,6930080
2009,July,14,,Canada,,1,Automobile dealers,7053390
2010,September,14,,Canada,,1,Automobile dealers,7061286
2011,October,14,,Canada,,1,Automobile dealers,7074720
2011,November,14,,Canada,,1,Automobile dealers,7145983
2009,May,14,,Canada,,1,Automobile dealers,7251044
2009,June,14,,Canada,,1,Automobile dealers,7277015
2010,August,14,,Canada,,1,Automobile dealers,7333252
2011,July,14,,Canada,,1,Automobile dealers,7381530
2011,September,14,,Canada,,1,Automobile dealers,7391150
2012,November,14,,Canada,,1,Automobile dealers,7428077
2008,June,14,,Canada,,1,Automobile dealers,7445564
2008,July,14,,Canada,,1,Automobile dealers,7447432
2010,July,14,,Canada,,1,Automobile dealers,7453556
2012,September,14,,Canada,,1,Automobile dealers,7488732
2010,March,14,,Canada,,1,Automobile dealers,7501822
2010,May,14,,Canada,,1,Automobile dealers,7521143
2010,April,14,,Canada,,1,Automobile dealers,7603569
2011,March,14,,Canada,,1,Automobile dealers,7795102
2011,August,14,,Canada,,1,Automobile dealers,7817300
2014,December,14,,Canada,,1,Automobile dealers,7828272
2012,October,14,,Canada,,1,Automobile dealers,7831148
2013,November,14,,Canada,,1,Automobile dealers,7859315
2013,March,14,,Canada,,1,Automobile dealers,7911641
2011,April,14,,Canada,,1,Automobile dealers,7950143
2016,January,14,,Canada,,1,Automobile dealers,8022617
2010,June,14,,Canada,,1,Automobile dealers,8030943
2012,July,14,,Canada,,1,Automobile dealers,8051518
2011,May,14,,Canada,,1,Automobile dealers,8134456
2012,March,14,,Canada,,1,Automobile dealers,8136243
2008,May,14,,Canada,,1,Automobile dealers,8156728
2012,April,14,,Canada,,1,Automobile dealers,8185287
2013,September,14,,Canada,,1,Automobile dealers,8302457
2012,August,14,,Canada,,1,Automobile dealers,8331180
2014,November,14,,Canada,,1,Automobile dealers,8373063
2008,April,14,,Canada,,1,Automobile dealers,8422061
2016,February,14,,Canada,,1,Automobile dealers,8519233
2011,June,14,,Canada,,1,Automobile dealers,8525994
2014,March,14,,Canada,,1,Automobile dealers,8559982
2017,February,14,,Canada,,1,Automobile dealers,8575909
2012,June,14,,Canada,,1,Automobile dealers,8625109
2013,October,14,,Canada,,1,Automobile dealers,8646293
2015,December,14,,Canada,,1,Automobile dealers,8747468
2013,August,14,,Canada,,1,Automobile dealers,8794490
2017,January,14,,Canada,,1,Automobile dealers,8885343
2018,February,14,,Canada,,1,Automobile dealers,8928818
2016,December,14,,Canada,,1,Automobile dealers,9012717
2018,January,14,,Canada,,1,Automobile dealers,9070301
2013,July,14,,Canada,,1,Automobile dealers,9087250
2012,May,14,,Canada,,1,Automobile dealers,9178984
2013,June,14,,Canada,,1,Automobile dealers,9216610
2013,April,14,,Canada,,1,Automobile dealers,9376380
2015,March,14,,Canada,,1,Automobile dealers,9382685
2017,December,14,,Canada,,1,Automobile dealers,9394601
2014,August,14,,Canada,,1,Automobile dealers,9399723
2014,October,14,,Canada,,1,Automobile dealers,9517321
2015,November,14,,Canada,,1,Automobile dealers,9674562
2014,June,14,,Canada,,1,Automobile dealers,9693966
2014,September,14,,Canada,,1,Automobile dealers,9774235
2013,May,14,,Canada,,1,Automobile dealers,9954644
2014,April,14,,Canada,,1,Automobile dealers,10084939
2014,July,14,,Canada,,1,Automobile dealers,10173648
2015,October,14,,Canada,,1,Automobile dealers,10250474
2015,August,14,,Canada,,1,Automobile dealers,10340887
2016,October,14,,Canada,,1,Automobile dealers,10592048
2014,May,14,,Canada,,1,Automobile dealers,10642736
2015,September,14,,Canada,,1,Automobile dealers,10681389
2015,April,14,,Canada,,1,Automobile dealers,10706796
2015,July,14,,Canada,,1,Automobile dealers,10867705
2016,March,14,,Canada,,1,Automobile dealers,10923608
2015,May,14,,Canada,,1,Automobile dealers,10949390
2015,June,14,,Canada,,1,Automobile dealers,11020596
2016,July,14,,Canada,,1,Automobile dealers,11103106
2016,November,14,,Canada,,1,Automobile dealers,11195401
2017,November,14,,Canada,,1,Automobile dealers,11316281
2016,September,14,,Canada,,1,Automobile dealers,11416089
2016,August,14,,Canada,,1,Automobile dealers,11579875
2016,May,14,,Canada,,1,Automobile dealers,11788561
2017,September,14,,Canada,,1,Automobile dealers,12037692
2016,April,14,,Canada,,1,Automobile dealers,12058081
2017,July,14,,Canada,,1,Automobile dealers,12072073
2016,June,14,,Canada,,1,Automobile dealers,12194556
2017,April,14,,Canada,,1,Automobile dealers,12415217
2018,March,14,,Canada,,1,Automobile dealers,12465841
2017,March,14,,Canada,,1,Automobile dealers,12549233
2018,April,14,,Canada,,1,Automobile dealers,12587529
2017,October,14,,Canada,,1,Automobile dealers,12663044
2017,June,14,,Canada,,1,Automobile dealers,13129082
2017,August,14,,Canada,,1,Automobile dealers,13153802
2017,May,14,,Canada,,1,Automobile dealers,14282423
2018,May,14,,Canada,,1,Automobile dealers,14702200
2009,February,3,,Manitoba,,1,Automobile dealers,149718
2009,January,3,,Manitoba,,1,Automobile dealers,164806
2010,January,3,,Manitoba,,1,Automobile dealers,168807
2010,February,3,,Manitoba,,1,Automobile dealers,173710
2008,December,3,,Manitoba,,1,Automobile dealers,175484
